Player,Name,Team,Position,College
1,Jadeveon Clowney,Texans,DE,South Carolina
2,Greg Robinson,Rams,T,Auburn
3,Blake Bortles,Jaguars,QB,Central Florida
4,Sammy Watkins,Bills,WR,Clemson
5,Khalil Mack,Raiders,LB,Buffalo
6,Jake Matthews,Falcons,T,Texas A&M
7,Mike Evans,Buccaneers,WR,Texas A&M
8,Justin Gilbert,Browns,DB,Oklahoma State
9,Anthony Barr,Vikings,LB,UCLA
10,Eric Ebron,Lions,TE,North Carolina
11,Taylor Lewan,Titans,T,Michigan
12,Odell Beckham,Giants,WR,LSU
13,Aaron Donald,Rams,DT,Pittsburgh
14,Kyle Fuller,Bears,DB,Virginia Tech
15,Ryan Shazier,Steelers,LB,Ohio State
16,Zack Martin,Cowboys,T,Notre Dame
17,C.J. Mosley,Ravens,LB,Alabama
18,Calvin Pryor,Jets,DB,Louisville
19,Ja'Wuan James,Dolphins,T,Tennessee
20,Brandin Cooks,Saints,WR,Oregon State
21,Ha Ha Clinton-Dix,Packers,DB,Alabama
22,Johnny Manziel,Browns,QB,Texas A&M
23,Dee Ford,Chiefs,DE,Auburn
24,Darqueze Dennard,Bengals,DB,Michigan State
25,Jason Verrett,Chargers,DB,Texas Christian
26,Marcus Smith,Eagles,DE,Louisville
27,Deone Bucannon,Cardinals,DB,Washington State
28,Kelvin Benjamin,Panthers,WR,Florida State
29,Dominique Easley,Patriots,DT,Florida
30,Jimmie Ward,49ers,DB,Northern Illinois
31,Bradley Roby,Broncos,DB,Ohio State
32,Teddy Bridgewater,Vikings,QB,Louisville
33,Xavier Su'a-Filo,Texans,G,UCLA
34,Demarcus Lawrence,Cowboys,DE,Boise State
35,Joel Bitonio,Browns,G,Nevada
36,Derek Carr,Raiders,QB,Fresno State
37,Ra'Shede Hageman,Falcons,DT,Minnesota
38,Austin Seferian-Jenkins,Buccaneers,TE,Washington
39,Marqise Lee,Jaguars,WR,USC
40,Kyle Van Noy,Lions,LB,Brigham Young
41,Lamarcus Joyner,Rams,DB,Florida State
42,Jordan Matthews,Eagles,WR,Vanderbilt
43,Weston Richburg,Giants,C,Colorado State
44,Cyrus Kouandjio,Bills,T,Alabama
45,Paul Richardson,Seahawks,WR,Colorado
46,Stephon Tuitt,Steelers,DE,Notre Dame
47,Trent Murphy,Redskins,LB,Stanford
