Name,College,Position,Age
Cam Newton,Auburn,QB,1989.356164
A.J. Green,Georgia,WR,1988.578082
Julio Jones,Alabama,WR,1989.10411
Jake Locker,Washington,QB,1988.452055
Blaine Gabbert,Missouri,QB,1989.786301
Christian Ponder,Florida State,QB,1988.150685
Jonathan Baldwin,Pittsburgh,WR,1989.605479
Mark Ingram,Alabama,RB,1989.969863
Andy Dalton,Texas Christian,QB,1987.824658
Colin Kaepernick,Nevada,QB,1987.838356
Ryan Williams,Virginia Tech,RB,1990.268493
Kyle Rudolph,Notre Dame,TE,1989.854795
Titus Young,Boise State,WR,1989.635616
Lance Kendricks,Wisconsin,TE,1988.079452
Shane Vereen,California,RB,1989.331507
Mikel Leshoure,Illinois,RB,1990.241096
Torrey Smith,Maryland,WR,1989.068493
Greg Little,North Carolina,WR,1989.408219
Daniel Thomas,Kansas State,RB,1987.824658
Randall Cobb,Kentucky,WR,1990.638356
Robert Housler,Florida Atlantic,TE,1988.205479
Demarco Murray,Oklahoma,RB,1988.115068
Stevan Ridley,Louisiana State,RB,1989.071233
Ryan Mallett,Arkansas,QB,1988.424658
Austin Pettis,Boise State,WR,1988.345205
Leonard Hankerson,Miami (FL),WR,1988.345205
Vincent Brown,San Diego State,WR,1989.065753
Jerrel Jernigan,Troy,WR,1989.449315
Alex Green,Hawaii,RB,1988.473973
Jordan Cameron,USC,TE,1988.59726
Luke Stocker,Tennessee,TE,1988.539726
Roy Helu,Nebraska,RB,1988.931507
Kris Durham,Georgia,WR,1988.205479
Edmond Gates,Abilene Christian,WR,1986.446575
Greg Salas,Hawaii,WR,1988.646575
Cecil Shorts,Mount Union,WR,1987.972603
Kendall Hunter,Oklahoma State,RB,1988.706849
Delone Carter,Syracuse,RB,1987.471233
Tandon Doss,Indiana,WR,1989.723288
Owen Marecic,Stanford,RB,1988.756164
Taiwan Jones,Eastern Washington,RB,1988.564384
Bilal Powell,Louisville,RB,1988.819178
Julius Thomas,Portland State,TE,1988.484932
Jamie Harper,Clemson,RB,1989.693151
Kealoha Pilares,Hawaii,WR,1988.136986
Johnny White,North Carolina,RB,1988.090411
Ricky Stanzi,Iowa,QB,1987.671233
Anthony Sherman,Connecticut,RB,1988.942466
D.J. Williams,Arkansas,TE,1988.690411
Jacquizz Rodgers,Oregon State,RB,1990.09863
Denarius Moore,Tennessee,WR,1988.936986
Dion Lewis,Pittsburgh,RB,1990.736986
T.J. Yates,North Carolina,QB,1987.40274
Jeremy Kerley,Texas Christian,WR,1988.852055
Niles Paul,Nebraska,WR,1989.60274
Lee Smith,Marshall,TE,1987.887671
Nathan Enderle,Idaho,QB,1988.030137
Ryan Whelan,Stanford,WR,1989.564384
Charles Clay,Tulsa,TE,1989.117808
Dwayne Harris,East Carolina,WR,1987.706849
Evan Royster,Penn State,RB,1987.90137
Aldrick Robinson,Southern Methodist,WR,1988.728767
Tyrod Taylor,Virginia Tech,QB,1989.586301
Richard Gordon,Miami (FL),TE,1987.430137
Ronald Johnson,USC,WR,1988.586301
Jordan Todman,Connecticut,RB,1990.147945
Allen Bradford,USC,RB,1988.663014
Virgil Green,Nevada,TE,1988.58904
Greg McElroy,Alabama,QB,1988.353425
Ryan Taylor,North Carolina,TE,1987.873973
Shaun Chapas,Georgia,RB,1988.331507
Da'Rel Scott,Maryland,RB,1988.4
Shane Bannon,Yale,RB,1989.29863
Anthony Allen,Georgia Tech,RB,1988.594521
Scotty McKnight,Colorado,WR,1988.112329
Baron Batch,Texas Tech,RB,1987.969863
Stephen Burton,West Texas A&M,WR,1989.942466
Daniel Hard,Idaho,TE,1987.682192
Stanley Havili,USC,RB,1987.868493
David Ausberry,USC,WR,1987.731507
Jay Finlay,Baylor,RB,1988.367123
Demarco Sampson,San Diego State,WR,1985.964384
Andrew Luck,Stanford,QB,1989.69589
Robert Griffin,Baylor,QB,1990.115068
Trent Richardson,Alabama,RB,1990.520548
Justin Blackmon,Oklahoma State,WR,1990.021918
Ryan Tannehill,Texas A&M,QB,1988.567123
Michael Floyd,Notre Dame,WR,1989.90411
Kendall Wright,Baylor,WR,1989.863014
Brandon Weeden,Oklahoma State,QB,1983.783562
A.J. Jenkins,Illinois,WR,1989.745205
Doug Martin,Boise State,RB,1989.032877
David Wilson,Virginia Tech,RB,1991.452055
Brian Quick,Appalachian State,WR,1989.424658
Coby Fleener,Stanford,TE,1988.717808
Stephen Hill,Georgia Tech,WR,1991.312329
Alshon Jeffery,South Carolina,WR,1990.120548
Isaiah Pead,Cincinnati,RB,1989.950685
Ryan Broyles,Oklahoma,WR,1988.268493
Brock Osweiler,Arizona State,QB,1990.890411
LaMichael James,Oregon,RB,1989.805479
Rueben Randle,Louisiana State,WR,1991.345205
Dwayne Allen,Clemson,TE,1990.147945
Ronnie Hillman,San Diego State,RB,1991.70137
DeVier Posey,Ohio State,WR,1990.2
T.J. Graham,North Carolina State,WR,1989.50411
Russell Wilson,Wisconsin,QB,1988.909589
Michael Egnew,Missouri,TE,1989.832877
Mohamed Sanu,Rutgers,WR,1989.641096
Bernard Pierce,Temple,RB,1991.353425
Nick Foles,Arizona,QB,1989.052055
T.Y. Hilton,Florida International,WR,1989.868493
Chris Givens,Wake Forest,WR,1989.928767
Lamar Miller,Miami (FL),RB,1991.312329
Travis Benjamin,Miami (FL),WR,1989.991781
Kirk Cousins,Michigan State,QB,1988.630137
Joe Adams,Arkansas,WR,1989.890411
Robert Turbin,Utah State,RB,1989.917808
Devon Wylie,Fresno State,WR,1988.668493
Ladarius Green,Louisiana-Lafayette,TE,1990.405479
Evan Rodriguez,Temple,TE,1988.720548
Orson Charles,Georgia,TE,1991.071233
Jarius Wright,Arkansas,WR,1989.89863
Keshawn Martin,Michigan State,WR,1990.2
Nick Toon,Wisconsin,WR,1988.841096
Adrien Robinson,Cincinnati,TE,1988.726027
Rhett Ellison,USC,RB,1988.75616
Greg Childs,Arkansas,WR,1990.186301
Taylor Thompson,Southern Methodist,TE,1989.79726
Danny Coale,Virginia Tech,WR,1988.484932
Bradie Ewing,Wisconsin,RB,1989.983562
Chris Rainey,Florida,RB,1988.164384
Marvin Jones,California,WR,1990.191781
Juron Criner,Arizona,WR,1989.945205
Vick Ballard,Mississippi State,RB,1990.536986
Alfred Morris,Florida Atlantic,RB,1988.945205
Cyrus Gray,Texas A&M,RB,1989.879452
B.J. Cunningham,Michigan State,WR,1989.405479
Ryan Lindley,San Diego State,QB,1989.416438
James Hanna,Oklahoma,TE,1989.531507
Daniel Herron,Ohio State,RB,1989.219178
Marvin McNutt,Iowa,WR,1989.50411
Tommy Streeter,Miami (FL),WR,1989.764384
Terrance Ganaway,Baylor,RB,1988.764384
LaVon Brazill,Ohio,WR,1989.2
Michael Smith,Utah State,RB,1988.60274
Rishard Matthews,Nevada,WR,1989.778082
Bryce Brown,Kansas State,RB,1991.364384
Toney Clemons,Colorado,WR,1988.775342
Drake Dunsmore,Northwestern,TE,1988.841096
Jeremy Ebert,Northwestern,WR,1989.260274
Junior Hemingway,Michigan,WR,1988.986301
David Paulson,Oregon,TE,1989.142466
B.J. Coleman,Tennessee-Chattanooga,QB,1988.706849
Jordan White,Western Michigan,WR,1988.421918
Brad Smelley,Alabama,TE,1989.380822
Edwin Baker,Michigan State,RB,1991.413699
Daryl Richardson,Abilene Christian,RB,1990.276712
Chandler Harnish,Northern Illinois,QB,1988.569863
Tavon Austin,West Virginia,WR,1990.2
EJ Manuel,Florida State,QB,1990.210959
Tyler Eifert,Notre Dame,TE,1990.684932
DeAndre Hopkins,Clemson,WR,1992.427397
Cordarrelle Patterson,Tennessee,WR,1991.205479
Justin Hunter,Tennessee,WR,1991.380822
Zach Ertz,Stanford,TE,1990.857534
Giovani Bernard,North Carolina,RB,1991.890411
Geno Smith,West Virginia,QB,1990.772603
Robert Woods,USC,WR,1992.271233
Gavin Escobar,San Diego State,TE,1991.090411
Le'Veon Bell,Michigan State,RB,1992.131507
Vance McDonald,Rice,TE,1990.446575
Montee Ball,Wisconsin,RB,1990.926027
Aaron Dobson,Marshall,WR,1991.556164
Eddie Lacy,Alabama,RB,1990.416438
Christine Michael,Texas A&M,RB,1990.854795
Travis Kelce,Cincinnati,TE,1989.758904
Mike Glennon,North Carolina State,QB,1989.945205
Terrance Williams,Baylor,WR,1989.684932
Keenan Allen,California,WR,1992.317808
Marquise Goodwin,Texas,WR,1990.882192
Markus Wheaton,Oregon State,WR,1991.10137
Jordan Reed,Florida,TE,1990.50137
Stedman Bailey,West Virginia,WR,1990.860274
Knile Davis,Arkansas,RB,1991.758904
Matt Barkley,USC,QB,1990.684932
Ace Sanders,South Carolina,WR,1991.860274
Josh Boyce,Texas Christian,WR,1991.342466
Dion Sims,Michigan State,TE,1991.131507
Ryan Nassib,Syracuse,QB,1990.186301
Tyler Wilson,Arkansas,QB,1989.621918
Landry Jones,Oklahoma,QB,1989.254795
Chris Harper,Kansas State,WR,1989.690411
Johnathan Franklin,UCLA,RB,1989.808219
Quinton Patton,Louisiana Tech,WR,1990.60274
Kyle Juszczyk,Harvard,RB,1991.306849
Marcus Lattimore,South Carolina,RB,1991.824658
Levine Toilolo,Stanford,TE,1991.575342
Denard Robinson,Michigan,WR,1990.723288
Stepfan Taylor,Stanford,RB,1991.435616
Kenny Stills,Oklahoma,WR,1992.30411
Joseph Randle,Oklahoma State,RB,1991.991781
Chris Thompson,Florida State,RB,1990.8
Luke Willson,Rice,TE,1990.038356
Zac Stacy,Vanderbilt,RB,1991.268493
Tavarres King,Georgia,WR,1990.531507
Mike Gillislee,Florida,RB,1990.835
Corey Fuller,Virginia Tech,WR,1990.473973
Nick Kasa,Colorado,TE,1990.843836
Ryan Swope,Texas A&M,WR,1990.717808
Latavius Murray,Central Florida,RB,1990.046575
Kenjon Barner,Oregon,RB,1989.320548
Mychal Rivera,Tennessee,TE,1990.684932
Justin Brown,Oklahoma,WR,1991.186301
Andre Ellington,Clemson,RB,1989.090411
Mike James,Miami (FL),RB,1991.279452
Rex Burkhead,Nebraska,RB,1990.49863
Spencer Ware,Louisiana State,RB,1991.893151
Alan Bonner,Jacksonville State,WR,1990.843836
Cobi Hamilton,Arkansas,WR,1990.865753
Theo Riddick,Notre Dame,RB,1991.336986
Ryan Griffin,Connecticut,TE,1990.027397
Braden Wilson,Kansas State,RB,1989.769863
Brice Butler,San Diego State,WR,1990.076712
Michael Williams,Alabama,TE,1990.68767
Tommy Bohanon,Wake Forest,RB,1990.690411
Charles Johnson,Grand Valley State,WR,1989.156164
D.C. Jefferson,Rutgers,TE,1989.345205
Brad Sorensen,Southern Utah,QB,1988.194521
Chris Gragg,Arkansas,TE,1990.493151
Kevin Dorsey,Maryland,WR,1990.145205
Jawan Jamison,Rutgers,RB,1991.893151
Kerwynn Williams,Utah State,RB,1991.438356
Zac Dysert,Miami (OH),QB,1990.10411
Marquess Wilson,Washington State,WR,1992.70137
B.J. Daniels,South Florida,QB,1988.810959
Aaron Mellette,Elon,WR,1989.989041
Sean Renfree,Duke,QB,1990.320548
Michael Cox,Massachusetts,RB,1988.868493
Justice Cunningham,South Carolina,TE,1991.035616
Blake Bortles,Central Florida,QB,1992.320548
Sammy Watkins,Clemson,WR,1993.449315
Mike Evans,Texas A&M,WR,1993.635616
Eric Ebron,North Carolina,TE,1993.271233
Odell Beckham,Louisiana State,WR,1992.843836
Brandin Cooks,Oregon State,WR,1993.731507
Johnny Manziel,Texas A&M,QB,1992.928767
Kelvin Benjamin,Florida State,WR,1991.09589
Teddy Bridgewater,Louisville,QB,1992.857534
Derek Carr,Fresno State,QB,1991.235616
Austin Seferian-Jenkins,Washington,TE,1992.742466
Marqise Lee,USC,WR,1991.901369
Jordan Matthews,Vanderbilt,WR,1992.536986
Paul Richardson,Colorado,WR,1992.279452
Jace Amaro,Texas Tech,TE,1992.482192
Troy Niklas,Notre Dame,TE,1992.712329
Davante Adams,Fresno State,WR,1992.978082
Bishop Sankey,Washington,RB,1992.70411
Jeremy Hill,Louisiana State,RB,1990.8027
Cody Latimer,Indiana,WR,1992.772603
Carlos Hyde,Ohio State,RB,1990.72054
Allen Robinson,Penn State,WR,1993.643836
Jimmy Garoppolo,Eastern Illinois,QB,1991.835616
Jarvis Landry,Louisiana State,WR,1992.906849
C.J. Fiedorowicz,Iowa,TE,1991.805479
Charles Sims,West Virginia,RB,1990.715068
Tre Mason,Auburn,RB,1993.594521
Josh Huff,Oregon,WR,1991.783562
Donte Moncrief,Mississippi,WR,1993.594521
John Brown,Pittsburg State (KS),WR,1990.252055
Terrance West,Towson,RB,1991.073973
Jerick McKinnon,Georgia Southern,RB,1992.334247
Dri Archer,Kent State,RB,1991.6054
Richard Rodgers,California,TE,1992.057534
Crockett Gillmore,Colorado State,TE,1991.873973
Devonta Freeman,Florida State,RB,1992.2
Jalen Saunders,Oklahoma,WR,1992.745205
Bruce Ellington,South Carolina,WR,1991.638356
Andre Williams,Boston College,RB,1992.654795
Shaq Evans,UCLA,WR,1991.178082
Ka'Deem Carey,Arizona,RB,1992.827397
Martavis Bryant,Clemson,WR,1991.967123
Logan Thomas,Virginia Tech,QB,1991.49589
Kevin Norwood,Alabama,WR,1989.726027
De'Anthony Thomas,Oregon,RB,1993.010959
James White,Wisconsin,RB,1992.090411
Tom Savage,Pittsburgh,QB,1990.315068
Lorenzo Taliaferro,Coastal Carolina,RB,1991.975342
Ryan Grant,Tulane,WR,1990.967
Devin Street,Pittsburgh,WR,1991.241096
Arthur Lynch,Georgia,TE,1990.457534
Aaron Murray,Georgia,QB,1990.857534
AJ McCarron,Alabama,QB,1990.69863
Jared Abbrederis,Wisconsin,WR,1990.958904
Zach Mettenberger,Louisiana State,QB,1991.536986
Alfred Blue,Louisiana State,RB,1991.317808
David Fales,San Jose State,QB,1990.756164
Robert Herron,Wyoming,WR,1992.416438
Lache Seastrunk,Baylor,RB,1991.572603
T.J. Jones,Notre Dame,WR,1992.545205
Matt Hazel,Coastal Carolina,WR,1992.060274
Keith Wenning,Ball State,QB,1991.12328
Walt Powell,Murray State,WR,1991.893151
Marion Grice,Arizona State,RB,1991.271233
Tyler Gaffney,Stanford,RB,1991.29863
Quincy Enunwa,Nebraska,WR,1992.410959
Jay Prosch,Auburn,RB,1992.635616
Tajh Boyd,Clemson,QB,1990.731507
Garrett Gilbert,Southern Methodist,QB,1991.49589
Ted Bolser,Indiana,TE,1990.805479
Mike Campanaro,Wake Forest,WR,1991.065753
Storm Johnson,Central Florida,RB,1992.539726
Kiero Small,Arkansas,RB,1989.328767
Rob Blanchflower,Massachusetts,TE,1990.432877
Jeff Janis,Saginaw Valley State,WR,1991.435616
James Wright,Louisiana State,WR,1991.99726
Tevin Reese,Baylor,WR,1991.00274
Jeremy Gallon,Michigan,WR,1990.106849
Trey Millard,Oklahoma,RB,1991.56438
Jameis Winston,Florida State,QB,1994.013699
Marcus Mariota,Oregon,QB,1993.827397
Amari Cooper,Alabama,WR,1994.457534
Kevin White,West Virginia,WR,1992.479452
Todd Gurley,Georgia,RB,1994.586301
DeVante Parker,Louisville,WR,1993.052055
Melvin Gordon,Wisconsin,RB,1993.279452
Nelson Agholor,USC,WR,1993.391781
Breshad Perriman,Central Florida,WR,1993.690411
Phillip Dorsett,Miami (FL),WR,1993.010959
T.J. Yeldon,Alabama,RB,1993.750685
Devin Smith,Ohio State,WR,1992.167123
Dorial Green-Beckham,Missouri,WR,1993.276712
Devin Funchess,Michigan,WR,1994.383562
Ameer Abdullah,Nebraska,RB,1993.446575
Maxx Williams,Minnesota,TE,1994.276712
Clive Walford,Miami (FL),TE,1991.747945
Tyler Lockett,Kansas State,WR,1992.739726
Jaelen Strong,Arizona State,WR,1994.065753
Tevin Coleman,Indiana,RB,1993.287671
Garrett Grayson,Colorado State,QB,1991.405479
Chris Conley,Georgia,WR,1992.813699
Duke Johnson Jr.,Miami (FL),RB,1993.726027
Tyler Kroft,Rutgers,TE,1992.786301
David Johnson,Northern Iowa,RB,1991.956164
Sammie Coates,Auburn,WR,1993.243836
Sean Mannion,Oregon State,QB,1992.31506
Jeff Heuerman,Ohio State,TE,1992.89589
Ty Montgomery,Stanford,WR,1993.06027
Matt Jones,Florida,RB,1993.178082
Bryce Petty,Baylor,QB,1991.410959
Jamison Crowder,Duke,WR,1993.457534
Jeremy Langford,Michigan State,RB,1991.928767
Justin Hardy,East Carolina,WR,1991.961644
Jalston Fowler,Alabama,RB,1990.564384
Blake Bell,Oklahoma,TE,1991.59726
Vince Mayle,Washington State,WR,1991.443836
Javorius Allen,USC,RB,1991.652055
Mike Davis,South Carolina,RB,1993.134247
DeAndre Smelter,Georgia Tech,WR,1991.920548
David Cobb,Minnesota,RB,1993.419178
Rashad Greene,Florida State,WR,1992.726027
MyCole Pruitt,Southern Illinois,TE,1992.224658
