Name,College,Position,Age
Cardale Jones,Ohio State,QB,1992.8246575342466
Kevin Hogan,Stanford,QB,1992.8
Nate Sudfeld,Indiana,QB,1993.7643835616439
Jake Rudock,Michigan,QB,1993.054794520548
Brandon Allen,Arkansas,QB,1992.676712328767
Jeff Driskel,Louisiana Tech,QB,1993.3068493150686
Brandon Doughty,Western Kentucky,QB,1991.7616438356165
Mitchell Trubisky,North Carolina,QB,1994.6328767123289
Patrick Mahomes,Texas Tech,QB,1995.7095890410958
Deshaun Watson,Clemson,QB,1995.7013698630137
DeShone Kizer,Notre Dame,QB,0
Davis Webb,California,QB,1995.0575342465754
C.J. Beathard,Iowa,QB,1993.8739726027397
Joshua Dobbs,Tennessee,QB,1995.0684931506848
Nathan Peterman,Pittsburgh,QB,1994.33698630137
Brad Kaaya,Miami (FL),QB,1995.6712328767123
Chad Kelly,Mississippi,QB,1994.2301369863014
Baker Mayfield,Oklahoma,QB,1995.282191780822
Sam Darnold,USC,QB,1997.4246575342465
Josh Allen,Wyoming,QB,1996.3835616438357
Josh Rosen,UCLA,QB,1997.109589041096
Lamar Jackson,Louisville,QB,1997.0164383561644
Mason Rudolph,Oklahoma State,QB,1995.5397260273974
Kyle Lauletta,Richmond,QB,1995.2054794520548
Mike White,Western Kentucky,QB,1995.227397260274
Luke Falk,Washington State,QB,1994.9890410958903
Tanner Lee,Nebraska,QB,1995.1205479452055
Danny Etling,Louisiana State,QB,1994.5534246575342
Alex McGough,Florida International,QB,1995.8821917808218
Logan Woodside,Toledo,QB,1995.0712328767124
