Name,College,Position,Age
Devontae Booker,Utah,RB,1992.4
DeAndre Washington,Texas Tech,RB,1993.1424657534246
Paul Perkins,UCLA,RB,1994.8739726027397
Jordan Howard,Indiana,RB,1994.835616438356
Wendell Smallwood,West Virginia,RB,0
Jonathan Williams,Arkansas,RB,1994.0876712328768
Alex Collins,Arkansas,RB,1994.6493150684933
Andy Janovich,Nebraska,RB,1993.3890410958904
Keenan Reynolds,Navy,RB,1993.9479452054795
Dan Vitale,Northwestern,RB,1993.8164383561643
Derek Watt,Wisconsin,RB,1992.849315068493
Kelvin Taylor,Florida,RB,1993.7397260273972
Darius Jackson,Eastern Michigan,RB,1993.9150684931508
Dwayne Washington,Washington,RB,1994.309589041096
Daniel Lasco,California,RB,1992.7698630136986
Keith Marshall,Georgia,RB,1994.1260273972603
Zac Brooks,Clemson,RB,1993.0849315068492
Leonard Fournette,Louisiana State,RB,1995.0465753424658
Christian McCaffrey,Stanford,RB,1996.4301369863015
Dalvin Cook,Florida State,RB,1995.6054794520549
Joe Mixon,Oklahoma,RB,1996.558904109589
Alvin Kamara,Tennessee,RB,1995.5616438356165
Kareem Hunt,Toledo,RB,1995.5945205479452
D'Onta Foreman,Texas,RB,1996.309589041096
James Conner,Pittsburgh,RB,1995.3397260273973
Samaje Perine,Oklahoma,RB,1995.7068493150684
Tarik Cohen,North Carolina A&T,RB,1995.5643835616438
Joe Williams,Utah,RB,1993.6739726027397
Donnel Pumphrey,San Diego State,RB,1994.9287671232876
Jamaal Williams,Brigham Young,RB,1995.2520547945205
Wayne Gallman,Clemson,RB,1994.7479452054795
Marlon Mack,South Florida,RB,1996.1780821917807
Brian Hill,Wyoming,RB,1995.854794520548
Jeremy McNichols,Boise State,RB,1995.9835616438356
T.J. Logan,North Carolina,RB,1994.6712328767123
Aaron Jones,Texas-El Paso,RB,1994.9178082191781
Elijah McGuire,Louisiana-Lafayette,RB,0
Alex Armah,West Georgia,RB,1994.372602739726
De'Angelo Henderson,Coastal Carolina,RB,1992.8958904109588
Sam Rogers,Virginia Tech,RB,1995.2767123287672
Brandon Wilson,Houston,RB,1994.5671232876712
Devante Mays,Utah State,RB,1994.3972602739725
Marquez Williams,Miami (OH),RB,1994.5369863013698
Khalfani Muhammad,California,RB,1994.7342465753425
Elijah Hood,North Carolina,RB,1996.304109589041
Chris Carson,Oklahoma State,RB,0
Matthew Dayes,North Carolina State,RB,0
Saquon Barkley,Penn State,RB,1997.1068493150685
Rashaad Penny,San Diego State,RB,1996.0876712328768
Sony Michel,Georgia,RB,1995.1287671232876
Nick Chubb,Georgia,RB,1995.986301369863
Ronald Jones,USC,RB,1997.5863013698631
Kerryon Johnson,Auburn,RB,1997.4931506849316
Derrius Guice,Louisiana State,RB,1997.468493150685
Royce Freeman,Oregon,RB,1996.1479452054793
Nyheim Hines,North Carolina State,RB,1996.86301369863
Mark Walton,Miami (FL),RB,1997.2383561643835
Ito Smith,Southern Mississippi,RB,1995.6931506849314
Kalen Ballage,Arizona State,RB,1995.972602739726
Chase Edmonds,Fordham,RB,1996.2794520547945
Jordan Wilkins,Mississippi,RB,1994.5424657534247
John Kelly,Tennessee,RB,1996.7561643835616
Boston Scott,Louisiana Tech,RB,1995.317808219178
Trenton Cannon,Virginia State,RB,1994.5561643835617
David Williams,Arkansas,RB,1994.4575342465753
Bo Scarbrough,Alabama,RB,1994.7424657534248
Nick Bawdon,San Diego State,RB,0
Justin Jackson,Northwestern,RB,1996.304109589041
