Name,College,Position,Age
Seth Devalve,Princeton,TE,1993.0767123287671
Temarrick Hemingway,South Carolina State,TE,1993.5753424657535
Jerell Adams,South Carolina,TE,1992.9972602739726
David Morgan,Texas-San Antonio,TE,1993.3780821917808
Rico Gathers,Baylor,TE,1994.0164383561644
Thomas Duarte,UCLA,TE,1995.2410958904109
Beau Sandland,Montana State,TE,0
O.J. Howard,Alabama,TE,1994.8794520547945
Evan Engram,Mississippi,TE,1994.668493150685
David Njoku,Miami (FL),TE,1996.5205479452054
Gerald Everett,South Alabama,TE,1994.4794520547946
Adam Shaheen,Ashland,TE,1994.8109589041096
Jonnu Smith,Florida International,TE,1995.6383561643836
Michael Roberts,Toledo,TE,1994.345205479452
Jake Butt,Michigan,TE,1995.5232876712328
George Kittle,Iowa,TE,1993.7698630136986
Jordan Leggett,Clemson,TE,1995.0821917808219
Jeremy Sprinkle,Arkansas,TE,1994.6054794520549
Eric Saubert,Drake,TE,1994.3287671232877
Bucky Hodges,Virginia Tech,TE,1995.6
Mason Schreck,Buffalo,TE,1993.841095890411
Hayden Hurst,South Carolina,TE,1993.6438356164383
Mike Gesicki,Penn State,TE,1995.7534246575342
Dallas Goedert,South Dakota State,TE,1995.0054794520547
Mark Andrews,Oklahoma,TE,1995.6794520547944
Jordan Akins,Central Florida,TE,1992.295890410959
Ian Thomas,Indiana,TE,1996.427397260274
Chris Herndon,Miami (FL),TE,1996.145205479452
Will Dissly,Washington,TE,1996.5150684931507
Durham Smythe,Notre Dame,TE,1995.6027397260275
Dalton Schultz,Stanford,TE,1996.5232876712328
Troy Fumagalli,Wisconsin,TE,1995.1287671232876
Tyler Conklin,Central Michigan,TE,1995.5753424657535
Jaylen Samuels,North Carolina State,TE,0
Jordan Thomas,Mississippi State,TE,1996.5835616438355
Ryan Izzo,Florida State,TE,1995.9698630136986
