Name,College,Position,Age,,,,
Tajae Sharpe,Massachusetts,WR,1994.975342,,,,
Jordan Payton,UCLA,WR,1993.665753,,,,
Trevor Davis,California,WR,1993.50411,,,,
Tyreek Hill,West Alabama,WR,1994.161644,,,,
Rashard Higgins,Colorado State,WR,1994.764384,,,,`
Moritz Boehringer,None,WR,1993.789041,,,,
Jakeem Grant,Texas Tech,WR,1992.827397,,,,
Kolby Listenbee,Texas Christian,WR,1994.065753,,,,
Cody Core,Mississippi,WR,1994.290411,,,,
Mike Thomas,Southern Mississippi,WR,1994.621918,,,,
Aaron Burbridge,Michigan State,WR,0,,,,
Devin Lucien,Arizona State,WR,1993.482192,,,,
DeMarcus Ayers,Houston,WR,1994.512329,,,,
Daniel Braverman,Western Michigan,WR,1993.739726,,,,
Devin Fuller,UCLA,WR,1994.076712,,,,
Charone Peake,Clemson,WR,1992.789041,,,,
Kenny Lawler,California,WR,1994.479452,,,,
Corey Davis,Western Michigan,WR,1995.027397,,,,
Mike Williams,Clemson,WR,1994.756164,,,,
John Ross,Washington,WR,1995.90411,,,,
Zay Jones,East Carolina,WR,1995.241096,,,,
Curtis Samuel,Ohio State,WR,1996.608219,,,,
JuJu Smith-Schuster,USC,WR,1996.890411,,,,
Cooper Kupp,Eastern Washington,WR,0,,,,
Taywan Taylor,Western Kentucky,WR,1995.164384,,,,
ArDarius Stewart,Alabama,WR,1993.934247,,,,
Carlos Henderson,Louisiana Tech,WR,1994.964384,,,,
Chris Godwin,Penn State,WR,1996.156164,,,,
Kenny Golladay,Northern Illinois,WR,1993.838356,,,,
Chad Williams,Grambling State,WR,1994.79726,,,,
Dede Westbrook,Oklahoma,WR,1993.887671,,,,
Josh Reynolds,Texas A&M,WR,1995.126027,,,,
Mack Hollins,North Carolina,WR,1993.706849,,,,
Josh Malone,Tennessee,WR,1996.216438,,,,
Ryan Switzer,North Carolina,WR,1994.841096,,,,
Jehu Chesson,Michigan,WR,1993.991781,,,,
Chad Hansen,California,WR,1995.046575,,,,
Shelton Gibson,West Virginia,WR,1994.213699,,,,
Rodney Adams,South Florida,WR,1994.70411,,,,
Isaiah McKenzie,Georgia,WR,1995.268493,,,,
DeAngelo Yancey,Purdue,WR,1994.879452,,,,
Trent Taylor,Louisiana Tech,WR,1994.326027,,,,
Robert Davis,Georgia State,WR,0,,,,
Stacy Coley,Miami (FL),WR,1994.361644,,,,
David Moore,East Central (OK),WR,1995.038356,,,,
Isaiah Ford,Virginia Tech,WR,1996.106849,,,,
Noah Brown,Ohio State,WR,1996.013699,,,,
Malachi Dupre,Louisiana State,WR,1995.778082,,,,
D.J. Moore,Maryland,WR,1997.282192,,,,
Calvin Ridley,Alabama,WR,1994.967123,,,,
Courtland Sutton,Southern Methodist,WR,1995.772603,,,,
Dante Pettis,Washington,WR,1995.808219,,,,
Christian Kirk,Texas A&M,WR,1996.879452,,,,
Anthony Miller,Memphis,WR,1994.769863,,,,
James Washington,Oklahoma State,WR,1996.249315,,,,
DJ Chark,Louisiana State,WR,1996.726027,,,,
Michael Gallup,Colorado State,WR,1996.169863,,,,
Tre'Quan Smith,Central Florida,WR,1996.016438,,,,
Keke Coutee,Texas Tech,WR,1997.035616,,,,
Antonio Callaway,Florida,WR,1997.021918,,,,
DaeSean Hamilton,Penn State,WR,1995.186301,,,,
Jaleel Scott,New Mexico State,WR,0,,,,
J'Mon Moore,Missouri,WR,1995.389041,,,,
Justin Watson,Pennsylvania,WR,1996.254795,,,,
Daurice Fountain,Northern Iowa,WR,1995.972603,,,,
Jordan Lasley,UCLA,WR,1996.865753,,,,
Marquez Valdes-Scantling,South Florida,WR,1994.772603,,,,
Damion Ratley,Texas A&M,WR,1995.287671,,,,
Deon Cain,Clemson,WR,1996.60274,,,,
Ray-Ray McCloud,Clemson,WR,1996.786301,,,,
Dylan Cantrell,Texas Tech,WR,1994.490411,,,,
Russell Gage,Louisiana State,WR,1996.057534,,,,
Equanimeous St. Brown,Notre Dame,WR,1996.745205,,,,
Cedrick Wilson,Boise State,WR,1995.884932,,,,
Braxton Berrios,Miami (FL),WR,1995.761644,,,,
Javon Wims,Georgia,WR,1994.693151,,,,
Marcell Ateman,Oklahoma State,WR,1994.706849,,,,
Richie James,Middle Tennessee,WR,1995.676712,,,,
Auden Tate,Florida State,WR,1997.090411,,,,
Austin Proehl,North Carolina,WR,1996.457534,,,,
Trey Quinn,Southern Methodist,WR,1995.931507,,,,
