Name,College,PPRPPG,logPPRPPG,Position,DraftSpot,top20,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
",,,,,,,,
Christian McCaffrey,Stanford,22.56875,1.353507506,RB,8,1,21.23561642,1996.430137,71,202,4.48,37.5,10,121,6.57,4.22,100.2926967,28.17020432,0,2006,2006,2006,2006,7,6,6,0,0,7,42,337,253,0,0,337,0.08974359,0.562604341,0.48374761,0,0,0.562604341,0,0.242424242,0.65,0,0,0.65,300,2019,1603,0,0,0.141709967,0.637109498,0.583758194,0,0,0.637109498,19.23561642,14,14,8,0,0,14,0.091706248,0.278017241,0.177548683,0,0,0.278017241,0.111111111,0.2,0.25,0,0,0.25,0.130136986,0.420321868,0.348324836,0,0,0.420321868,1070,37,154,2.642857143,5,,,,,,,,,
Saquon Barkley,Penn State,21.65172414,1.335492485,RB,2,1,21.55890442,1997.106849,73,233,4.4,41,29,NA,NA,4.24,124.329793,30.73728655,0,2006,2006,2006,2006,5,5,5,0,0,5,182,272,217,0,0,272,0.440677966,0.503703704,0.481152993,0,0,0.503703704,0.466666667,0.529411765,0.5,0,0,0.529411765,1076,1496,1271,0,0,0.575093533,0.593886463,0.56690455,0,0,0.593886463,18.55890442,8,14,11,0,0,14,0.061286639,0.123768473,0.201273885,0,0,0.201273885,0.052631579,0.16,0.103448276,0,0,0.16,0.330571887,0.3767368,0.424397859,0,0,0.424397859,426,15,0,0.9375,0,,,,,,,,,
Ezekiel Elliott,Ohio State,21.4425,1.331275419,RB,4,1,21.11232842,1995.553425,73,225,4.47,32.5,NA,118,NA,NA,112.7151832,29.68192907,0,2006,2006,2006,2006,8,6,6,0,0,8,30,273,289,0,0,289,0.048154093,0.403249631,0.522603978,0,0,0.522603978,0.044444444,0.43902439,0.58974359,0,0,0.58974359,262,1878,1821,0,0,0.060229885,0.466815809,0.562557924,0,0,0.562557924,19.11232842,7,7,7,0,0,7,0.008147361,0.063091483,0.091596265,0,0,0.091596265,0.027027027,0,0,0,0,0.027027027,0.032758621,0.260750684,0.313098548,0,0,0.313098548,16,1,13,0.026315789,0.071428571,,,,,,,,,
Alvin Kamara,Tennessee,20.20266667,1.305408698,RB,67,1,22.10410942,1995.561644,70,214,4.56,39.5,15,131,7.1,4.35,98.98842137,30.70244898,0,2006,2006,2006,2006,6,5,0,0,0,6,107,103,0,0,0,107,0.096657633,0.110278373,0,0,0,0.110278373,0.127272727,0.157894737,0,0,0,0.157894737,698,596,0,0,0,0.142857143,0.112793338,0,0,0,0.142857143,0,8,9,0,0,0,9,0.045877345,0.056402878,0,0,0,0.056402878,0.066666667,0.063492063,0,0,0,0.066666667,0.101207532,0.09348978,0,0,0,0.101207532,16,1,184,0.014084507,0.527777778,,,,,,,,,
Le'Veon Bell,Michigan State,19.96,1.300160537,RB,48,1,21.53424642,1992.131507,73,230,4.6,31.5,24,118,6.75,4.24,102.7369113,30.34152749,0,2006,2006,2006,2006,5,5,4,0,0,5,107,182,382,0,0,382,0.248837209,0.379166667,0.78600823,0,0,0.78600823,0.32,0.619047619,0.923076923,0,0,0.923076923,605,948,1793,0,0,0.276887872,0.4749499,0.870811073,0,0,0.870811073,19.53424642,8,7,5,0,0,8,0.032594086,0.081701346,0.06518345,0,0,0.081701346,0,0,0.076923077,0,0,0.076923077,0.160640732,0.304358717,0.475959203,0,0,0.475959203,142,6,18,0.136363636,0.130434783,,,,,,,,,
Todd Gurley,Georgia,17.95227273,1.254119437,RB,10,1,21.07945242,1994.586301,73,222,4.52,NA,17,NA,NA,NA,106.3724668,29.28617001,0,2006,2006,2006,2006,6,6,7,0,0,7,222,165,123,0,0,222,0.168949772,0.107212476,0.051942568,0,0,0.168949772,0.2125,0.12345679,0.058823529,0,0,0.2125,1385,989,911,0,0,0.196956769,0.132662643,0.0651552,0,0,0.196956769,0,7,11,4,0,0,11,0.020555165,0.052656716,0.00628584,0,0,0.052656716,0,0.109090909,0,0,0,0.109090909,0.106797497,0.095908786,0.034615935,0,0,0.106797497,243,7,0,0.101449275,0,,,,,,,,,
Kareem Hunt,Toledo,17.90857143,1.253060943,RB,86,1,22.07123242,1995.594521,70,216,4.62,36.5,18,119,7.22,4.53,94.82347013,30.98938776,0,2006,2006,2006,2006,6,8,5,5,0,8,137,205,178,262,0,262,0.289640592,0.362831858,0.373165618,0.51171875,0,0.51171875,0.230769231,0.457142857,0.461538462,0.588235294,0,0.588235294,866,1631,973,1475,0,0.298826777,0.481973995,0.371799771,0.566436252,0,0.566436252,19.07123242,5,4,4,9,0,9,0.028180688,0.012939615,0.015045135,0.106248352,0,0.106248352,0,0,0,0.022222222,0,0.022222222,0.161145618,0.246749409,0.194497516,0.360599078,0,0.360599078,0,0,0,0,0,,,,,,,,,
Dalvin Cook,Florida State,17.57931034,1.245001833,RB,41,1,22.06027442,1995.605479,70,210,4.49,30.5,22,116,7.27,4.53,103.3389219,30.12857143,0,2006,2006,2006,2006,5,7,6,0,0,7,170,229,288,0,0,288,0.387243736,0.549160671,0.555984556,0,0,0.555984556,0.296296296,0.703703704,0.575757576,0,0,0.703703704,1008,1691,1765,0,0,0.502492522,0.729823047,0.662537538,0,0,0.729823047,19.06027442,9,10,14,0,0,14,0.052077989,0.079118029,0.165704584,0,0,0.165704584,0,0.047619048,0.045454545,0,0,0.047619048,0.301844467,0.417565818,0.42286036,0,0,0.42286036,0,0,0,0,0,,,,,,,,,
Melvin Gordon,Wisconsin,15.04651163,1.177435825,RB,15,1,22.38630142,1993.279452,73,215,4.52,35,19,126,7.04,4.07,103.01838,28.36273222,0,2006,2006,2006,2006,4,10,7,7,0,10,20,62,206,343,0,343,0.033444816,0.099838969,0.375912409,0.54015748,0,0.54015748,0.020833333,0.078947368,0.342857143,0.630434783,0,0.630434783,98,621,1609,2587,0,0.029376499,0.178550891,0.428153273,0.565835521,0,0.565835521,20.38630142,32,10,8,0,0,32,0.030487805,0.003918495,0.079110651,0,0,0.079110651,0.071428571,0,0.25,0,0,0.25,0.098619896,0.215407131,0.299650044,0,0,0.299650044,151,7,0,0.4375,0,,,,,,,,,
DeMarco Murray,Oklahoma,14.8783784,1.1725556,RB,71,1,23.7,1988.1,73,213,4.37,34.5,21,124,7.28,4.18,116.811029,28.0988929,2007,2008,2009,2010,2011,6,5,4,4,0,6,127,179,171,282,0,282,0.11150132,0.15471046,0.16797642,0.28228228,0,0.28228228,0.203125,0.1686747,0.2,0.30612245,0,0.30612245,764,1002,705,1214,0,0.12763114,0.16480263,0.16040956,0.2683466,0,0.2683466,0,4,12,12,8,0,12,0.00904977,0.051661,0.09369952,0.0698988,0,0.09369952,0,0.05555556,0.09090909,0.07246377,0,0.09090909,0.00501169,0.03248355,0.05938567,0.06564987,0,0.06564987,249,10,0,0.11363636,0,,,,,,,,,
