Name,PPG,top12,top12b,College,Position,DraftSpot,Age,Birthdate,HT,WT,40,VERT,Bench,Broad,3Cone,Shuttle,SpeedScore,BMI,Season1,Season2,Season3,Season4,Season5,YPC1,YPC2,YPC3,YPC4,YPC5,BestYPC,CAR1,CAR2,CAR3,CAR4,CAR5,BestCAR,RCMS1,RCMS2,RCMS3,RCMS4,RCMS5,BestRCMS,RTDMS1,RTDMS2,RTDMS3,RTDMS4,RTDMS5,BestRTDMS,RY1,RY2,RY3,RY4,RY5,RYMS1,RYMS2,RYMS3,RYMS4,RYMS5,BestRYMS,Breakout Age,YPrec1,YPrec2,YPrec3,YPrec4,YPrec5,BestYPrec,RecYDMS1,RecYDMS2,RecYDMS3,RecYDMS4,RecYDMS5,BestRecYDMS,RecTDMS1,RecTDMS2,RecTDMS3,RecTDMS4,RecTDMS5,BestRecTDMS,DOM1,DOM2,DOM3,DOM4,DOM5,BestDOM,BKRY,BKRN,BPRY,BPRN,BKMS,"BPMS
"
Kyle Rudolph,Notre Dame,7.8076923076923075,1,1,TE,43,0,0,78.0,259.0,4.83,0,0,0,0,0,95.17902173515381,29.927186061801446,2008,2009,2010,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,11.0,0,0,11.0,0.11929824561403508,0.10346787947697555,0.11073598919648886,0,0,0.11929824561403508,0.08695652173913043,0.1111111111111111,0.12,0,0,0.12,0,0,0.11929824561403508,0.10346787947697555,0.11073598919648886,0.11929824561403508,0,0,0,0,0,"
"
Lance Kendricks,Wisconsin,5.654347826086957,0,0,TE,47,0,0,75.0,243.0,4.65,34.5,25.0,122.0,6.94,4.15,103.9499913916413,30.369600000000002,0,2008,2009,2010,2011,14.0,0,0,0,0,14.0,7.0,2.0,0,0,0,7.0,0.012237762237762238,0.0035026269702276708,0,0,0,0.012237762237762238,0.0,0.0,0,0,0,0,102.0,0,0,0,0,0.038288288288288286,0.0,0,0,0,0.038288288288288286,22.586301424657677,23.0,12.0,15.0,0,0,23.0,0.061197916666666664,0.14747307373653687,0.3435233160621762,0,0,0.3435233160621762,0.0,0.23076923076923078,0.4166666666666667,0,0,0.4166666666666667,0,0,0.061197916666666664,0.14747307373653687,0.3435233160621762,0.3435233160621762,0,0,0,0,0,"
"
Jordan Cameron,USC,7.340540540540541,1,1,TE,102,0,0,77.0,254.0,4.53,37.5,23.0,119.0,6.82,4.03,120.63432659431557,30.116714454376794,0,2008,2009,2010,2011,6.0,0,0,0,0,6.0,1.0,0,0,0,0,1.0,0.0021141649048625794,0,0,0,0,0.0021141649048625794,0.0,0,0,0,0,0,6.0,0,0,0,0,0.0024164317358034634,0,0,0,0,0.0024164317358034634,0,7.0,0,0,0,0,7.0,0.041680449884220976,0,0,0,0,0.041680449884220976,0.037037037037037035,0,0,0,0,0.037037037037037035,0,0,0,0,0.041680449884220976,0.041680449884220976,0,0,0,0,0,"
"
Luke Stocker,Tennessee,1.865625,0,0,TE,104,0,0,77.0,258.0,4.68,33.0,27.0,115.0,7.03,4.4,107.56383784699617,30.590993422162253,0,2008,2009,2010,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,13.0,10.0,0,13.0,0.0018068331143232589,0.030779450841452612,0.06925405020473563,0.07755253859029199,0,0.07755253859029199,0.018867924528301886,0.0,0.10416666666666667,0.06060606060606061,0,0.10416666666666667,0,0.0018068331143232589,0.030779450841452612,0.06925405020473563,0.07755253859029199,0.07755253859029199,0,0,0,0,0,"
"
D.J. Williams,Arkansas,0.6153846153846154,0,0,TE,141,0,0,74.0,245.0,4.59,33.5,20.0,111.0,7.29,4.51,110.39396646925579,31.452702702702705,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,12.0,12.0,11.0,0,18.0,0.02099620281438463,0.14675624606340543,0.07142857142857142,0.09271033564985953,0,0.14675624606340543,0.0,0.09375,0.07692307692307693,0.07272727272727272,0,0.09375,0,0.02099620281438463,0.14675624606340543,0.07142857142857142,0.09271033564985953,0.14675624606340543,0,0,0,0,0,"
"
Lee Smith,Marshall,0.8380952380952381,0,0,TE,159,0,0,78.0,266.0,4.94,29.0,25.0,108.0,7.13,4.28,89.3313375317258,30.73602892833662,0,2007,2008,2009,2010,0.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0.0021551724137931034,0,0,0,0,0.0021551724137931034,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4.0,7.0,14.0,9.0,0,14.0,0.0027743526510480886,0.0448814926878467,0.14267461669505963,0.1593235425011126,0,0.1593235425011126,0.0,0.0,0.0,0.15789473684210525,0,0.15789473684210525,0,0.0027743526510480886,0.0448814926878467,0.14267461669505963,0.1593235425011126,0.1593235425011126,24.0,3.0,0,0.06521739130434782,0,"
"
Charles Clay,Tulsa,6.747727272727272,1,1,TE,174,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,5.0,5.0,3.0,6.0,0,6.0,57.0,25.0,63.0,34.0,0,63.0,0.10382513661202186,0.03759398496240601,0.1323529411764706,0.06500956022944551,0,0.1323529411764706,0.03571428571428571,0.05,0.3684210526315789,0.0,0,0.3684210526315789,304.0,145.0,236.0,226.0,0,0.12253123740427246,0.03811777076761304,0.12952799121844127,0.07927043142756927,0,0.12952799121844127,18.547945424657655,14.0,12.0,13.0,12.0,0,14.0,0.24556354916067147,0.1279294182519989,0.20526723470178157,0.16264687693259122,0,0.24556354916067147,0.16666666666666666,0.24324324324324326,0.25,0.28,0,0.28,0,0.24556354916067147,0.1279294182519989,0.20526723470178157,0.16264687693259122,0.24556354916067147,0,0,0,0,0,"
"
Virgil Green,Nevada,0.702325581395349,0,0,TE,204,0,0,75.0,249.0,4.54,42.5,23.0,130.0,6.9,4.4,117.22113747926207,31.119466666666668,0,2007,2008,2009,2010,9.0,16.0,4.0,0,0,16.0,2.0,1.0,4.0,0,0,4.0,0.003418803418803419,0.001697792869269949,0.0061162079510703364,0,0,0.0061162079510703364,0.0,0.0,0.0,0,0,0,18.0,16.0,19.0,0,0,0.004945054945054945,0.0035343494588027393,0.004622871046228711,0,0,0.004945054945054945,0,10.0,11.0,14.0,0,0,14.0,0.04748603351955307,0.14192139737991266,0.19346356123215627,0,0,0.19346356123215627,0.047619047619047616,0.3125,0.29411764705882354,0,0,0.3125,0,0,0.04748603351955307,0.14192139737991266,0.19346356123215627,0.19346356123215627,0,0,0,0,0,"
"
Ryan Taylor,North Carolina,0.4111111111111111,0,0,TE,218,0,0,0.0,0,0,0,0,0,0,0,NA,0,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,9.0,0.10638297872340426,0,0,0,0,0.10638297872340426,0.11764705882352941,0,0,0,0,0.11764705882352941,0,0,0,0,0.10638297872340426,0.10638297872340426,0,0,0,0,0,"
"
Daniel Hard,Idaho,0,0,0,TE,238,0,0,76.0,249.0,4.78,0,18.0,0,0,0,95.39327439828241,30.30592105263158,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.983561424657637,14.0,17.0,17.0,0,0,17.0,0.06023529411764706,0.22760210803689065,0.1626865671641791,0,0,0.22760210803689065,0.1111111111111111,0.12,0.038461538461538464,0,0,0.12,0,0,0.06023529411764706,0.22760210803689065,0.1626865671641791,0.22760210803689065,0,0,0,0,0,"
"
Coby Fleener,Stanford,8.620454545454546,2,1,TE,34,0,0,78.0,247.0,4.51,0,27.0,0,0,0,119.40452393190542,28.540598290598293,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94794542465752,13.0,12.0,15.0,19.0,0,19.0,0.10666666666666667,0.10826210826210826,0.14792092706203136,0.2256427604871448,0,0.2256427604871448,0.0,0.07692307692307693,0.28,0.35714285714285715,0,0.35714285714285715,0,0.10666666666666667,0.10826210826210826,0.14792092706203136,0.2256427604871448,0.2256427604871448,4.0,1.0,0,0.023255813953488372,0,"
"
Dwayne Allen,Clemson,8.036666666666667,0,0,TE,64,0,0,75.0,255.0,4.85,32.0,27.0,110.0,7.12,4.37,92.17289362149008,31.869333333333337,0,2007,2008,2009,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,11.0,12.0,0,0,12.0,0.04186046511627907,0.171889400921659,0.17818831942789035,0,0,0.17818831942789035,0.15,0.0625,0.32,0,0,0.32,0,0,0.04186046511627907,0.171889400921659,0.17818831942789035,0.17818831942789035,0,0,0,0,0,"
"
Michael Egnew,Missouri,0.7722222222222223,0,0,TE,78,0,0,77.0,252.0,4.52,36.0,21.0,131.0,7.03,4.32,120.7471245118773,29.879574970484065,0,2007,2008,2009,2010,2.0,0,0,0,0,2.0,3.0,0,0,0,0,3.0,0.005172413793103448,0,0,0,0,0.005172413793103448,0.0,0,0,0,0,0,8.0,0,0,0,0,0.0025078369905956114,0,0,0,0,0.0025078369905956114,20.83287642465757,5.0,8.0,8.0,10.0,0,10.0,0.004776378636561007,0.006764069264069264,0.3011857707509881,0.21029352633695214,0,0.3011857707509881,0.0,0.0,0.4166666666666667,0.15,0,0.4166666666666667,0,0.004776378636561007,0.006764069264069264,0.3011857707509881,0.21029352633695214,0.3011857707509881,0,0,0,0,0,"
"
