,Name,College,Conf,Draft Year,Round,Pick,Player,College Rating,Pct,TD/Int,Draft Team Win Pct,Draft Team Point Diff,NFL Rating,Sun Belt,Ind,Big Ten,Pac-10,Pac-12,MWC,ACC,WAC,MAC,Big East,Big 12,SEC,CUSA,American
0,Trevor Siemian,Northwestern,Big Ten,2015,7,33,250,130.625,59.525000000000006,1.625544609415577,.750,59,81.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,Blake Bortles,Central Florida,American,2014,1,3,3,163.4,67.8,2.7472527472527473,.188,-163,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Blake Bortles,Central Florida,CUSA,2014,1,3,3,149.2,65.55,2.728305315765561,.188,-163,80.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Johnny Manziel,Texas A&M,SEC,2014,1,22,22,164.10000000000002,68.95,2.840785169029444,.438,-38,74.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,Derek Carr,Fresno State,MWC,2014,2,4,36,156.10000000000002,68.1,5.692053555903321,.188,-199,92.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Derek Carr,Fresno State,WAC,2014,2,4,36,141.55,67.0,1.4285714285714286,.188,-199,92.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Jimmy Garoppolo,Eastern Illinois,MWC,2014,2,30,62,156.10000000000002,68.1,5.692053555903321,.750,155,98.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Jimmy Garoppolo,Eastern Illinois,WAC,2014,2,30,62,141.55,67.0,1.4285714285714286,.750,155,98.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Tom Savage,Pittsburgh,ACC,2014,4,35,135,138.2,61.2,2.307692307692308,.563,65,72.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Tom Savage,Pittsburgh,Big East,2014,4,35,135,117.0,52.05,1.3084961381190368,.563,65,72.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,A.J. McCarron,Alabama,SEC,2014,5,24,164,158.625,62.375,2.966682939823871,.656,21,86.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,Zach Mettenberger,Louisiana State,SEC,2014,6,2,178,157.5666666666667,65.46666666666667,4.802063409262157,.125,-184,75.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,EJ Manuel,Florida State,ACC,2013,1,16,16,146.325,67.075,1.4507321383877694,.375,-49,77.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Geno Smith,West Virginia,Big 12,2013,2,7,39,163.9,71.2,6.885245901639345,.500,-97,75.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Geno Smith,West Virginia,Big East,2013,2,7,39,139.4,65.3,2.8851899274434487,.500,-97,75.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Landry Jones,Oklahoma,Big 12,2013,4,18,115,140.82500000000002,63.24999999999999,2.401925000750369,.500,9,86.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,Andrew Luck,Stanford,Pac-10,2012,1,1,1,156.85,63.5,3.5606744956338456,.688,-30,89.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,Andrew Luck,Stanford,Pac-12,2012,1,1,1,169.7,71.3,3.6633663366336635,.688,-30,89.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Ryan Tannehill,Texas A&M,Big 12,2012,1,8,8,137.6,69.15,1.0129193355770276,.438,-29,91.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,Brandon Weeden,Oklahoma State,Big 12,2012,1,22,22,141.375,58.775,2.2640527411519775,.313,-66,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Brock Osweiler,Arizona State,Pac-10,2012,2,25,57,109.9,50.25,25.476190476190474,.813,192,78.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Brock Osweiler,Arizona State,Pac-12,2012,2,25,57,140.5,63.2,1.984732824427481,.813,192,78.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Terrelle Pryor,Ohio State,Big Ten,2012,3,0,0,144.4333333333333,60.73333333333333,2.3269611074489123,.250,-153,69.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,Jake Locker,Washington,Pac-10,2011,1,8,8,115.725,53.725,3.6717940194761387,.563,8,79.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Blaine Gabbert,Missouri,Big 12,2011,1,10,10,111.23333333333333,53.6,1.4652014652014653,.313,-86,72.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,Andy Dalton,Texas Christian,MWC,2011,2,3,35,141.5,61.699999999999996,2.580874831758792,.563,21,87.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Ryan Mallett,Arkansas,Big Ten,2011,3,10,74,105.7,43.3,1.3725490196078431,.813,171,66.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Ryan Mallett,Arkansas,SEC,2011,3,10,74,158.05,60.25,3.4349901059248054,.813,171,66.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,Tyrod Taylor,Virginia Tech,ACC,2011,6,15,180,131.8,56.650000000000006,2.287373831858959,.750,112,89.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Greg McElroy,Alabama,SEC,2011,7,5,208,170.425,73.35000000000001,4.744250249989131,.500,14,79.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Tim Tebow,Florida,SEC,2010,1,25,25,177.7,66.45,5.306519103588511,.250,-127,75.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,Colt McCoy,Texas,Big 12,2010,3,21,85,155.55,70.15,2.9322281195971014,.313,-61,78.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,Rusty Smith,Florida Atlantic,Sun Belt,2010,6,7,176,129.475,56.375,2.1761124890036028,.375,17,29.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Levi Brown,Troy,Sun Belt,2010,7,2,209,136.7,62.7,3.683091102445941,.250,-142,51.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Mark Sanchez,USC,Pac-10,2009,1,5,5,125.90000000000002,56.4,1.5796285510904031,.563,112,73.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Tom Brandstater,Fresno State,WAC,2009,6,1,174,116.1,55.725,1.5649641252667765,.500,2,39.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Curtis Painter,Purdue,Big Ten,2009,6,28,201,119.57499999999999,58.575,1.3809628846586035,.875,109,57.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,Joe Flacco,Delaware,Big East,2008,1,18,18,,,,.688,141,84.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,Chad Henne,Michigan,Big Ten,2008,2,26,57,134.025,59.7,2.3724507815416906,.688,28,76.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,Dennis Dixon,Oregon,Pac-10,2008,5,21,156,126.3,58.8,1.9161491203106955,.750,124,71.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,JaMarcus Russell,Louisiana State,SEC,2007,1,1,1,143.6,59.666666666666664,2.433421241009317,.250,-115,65.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,Brady Quinn,Notre Dame,Ind,2007,1,22,22,131.125,57.050000000000004,2.9993761665132093,.625,20,64.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,John Beck,Brigham Young,MWC,2007,2,8,40,135.025,60.025000000000006,2.2109824987388227,.063,-170,67.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Trent Edwards,Stanford,Pac-10,2007,3,29,92,112.44999999999999,55.72500000000001,1.1570860012328494,.438,-102,75.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Troy Smith,Ohio State,Big Ten,2007,5,37,174,152.9333333333333,61.29999999999999,3.8003723241886043,.313,-109,78.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Vince Young,Texas,Big 12,2006,1,3,3,140.96666666666667,61.03333333333334,1.5001363097862892,.500,-76,74.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,Jay Cutler,Vanderbilt,SEC,2006,1,11,11,125.25,56.475,1.6853558804614037,.563,14,85.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,Kellen Clemens,Oregon,Pac-10,2006,2,17,49,133.875,60.325,2.6521419898623475,.625,21,68.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Charlie Whitehurst,Clemson,ACC,2006,3,17,81,123.675,59.37500000000001,1.1852158333617184,.875,189,74.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Brodie Croyle,Alabama,SEC,2006,3,21,85,135.22500000000002,57.12499999999999,16.404100087251436,.563,16,67.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,Charlie Frye,Akron,MAC,2005,3,3,67,137.375,63.24999999999999,1.9408915310554657,.375,-69,69.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,Andrew Walter,Arizona State,Pac-10,2005,3,5,69,126.80000000000001,52.675,2.2389542461996728,.250,-93,52.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Derek Anderson,Oregon State,Pac-10,2005,6,39,213,114.9,48.474999999999994,1.230683661720338,.375,-34,70.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,Matt Cassel,USC,Pac-10,2005,7,16,230,101.22500000000001,60.65,0.0,.625,41,78.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Eli Manning,Mississippi,SEC,2004,1,1,1,126.05000000000001,58.1,1.9171522530318674,.750,133,84.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,Ben Roethlisberger,Miami (OH),MAC,2004,1,11,11,150.33333333333334,65.23333333333333,2.51791508839351,.938,121,93.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,Luke McCown,Louisiana Tech,Ind,2004,4,10,106,134.7,66.1,1.390728476821192,.250,-114,71.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Luke McCown,Louisiana Tech,WAC,2004,4,10,106,127.7,58.199999999999996,1.442699243746364,.250,-114,71.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Josh Harris,Bowling Green,Sun Belt,2004,6,22,187,98.625,53.55,0.5952380952380952,.563,49,69.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jim Sorgi,Wisconsin,Big Ten,2004,6,28,193,139.675,56.5,1.5781440781440783,.750,171,89.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,Carson Palmer,USC,Pac-10,2003,1,1,1,134.54000000000002,61.11999999999999,1.4681935435210876,.500,-38,87.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Byron Leftwich,Marshall,MAC,2003,1,7,7,128.52,62.58,2.1260204026903233,.313,-55,78.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,Kyle Boller,California,Pac-10,2003,1,19,19,105.575,47.00000000000001,1.4253651744022795,.625,110,69.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,Drew Henson,Michigan,Big Ten,2003,6,19,192,121.93333333333332,51.43333333333334,2.6860943934114663,.313,-125,64.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,Brooks Bollinger,Wisconsin,Big Ten,2003,6,27,200,127.7,54.025,2.524005823559242,.375,-16,74.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,David Carr,Fresno State,WAC,2002,1,1,1,118.125,56.275,1.8964143964143965,.250,-143,74.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,David Garrard,East Carolina,CUSA,2002,4,10,108,132.575,57.199999999999996,1.5672847298967658,.375,13,85.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,Drew Brees,Purdue,Big Ten,2001,2,1,32,121.5,57.199999999999996,1.5387936351301346,.313,11,98.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,Marques Tuiasosopo,Washington,Pac-10,2001,2,28,59,124.1,54.75,1.3654429830900416,.625,72,48.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,Chad Pennington,Marshall,MAC,2000,1,18,18,158.23333333333335,63.800000000000004,3.5826898951098696,.563,0,90.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,Chris Redman,Louisville,CUSA,2000,3,13,75,131.825,60.425,1.5724967207853753,.750,168,78.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,Spergon Wynn,Southwest Texas State,Big Ten,2000,6,17,183,,,,.188,-258,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,Tom Brady,Michigan,Big Ten,2000,6,33,199,118.125,65.725,1.0022723583833795,.313,-62,97.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,Jarious Jackson,Notre Dame,Ind,2000,7,8,214,162.65,56.825,8.561478052234941,.688,116,66.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
