Year,No.,Round,Pick,Player,Name,Team,College
2021,1,1,1,1,Trevor Lawrence,Jaguars,Clemson
2021,2,1,2,2,Zach Wilson,Jets,Brigham Young
2021,3,1,3,3,Trey Lance,49ers,North Dakota State
2021,4,1,11,11,Justin Fields,Bears,Ohio State
2021,5,1,15,15,Mac Jones,Patriots,Alabama
2021,6,2,32,64,Kyle Trask,Buccaneers,Florida
2021,7,3,2,66,Kellen Mond,Vikings,Texas A&M
2021,8,3,3,67,Davis Mills,Texans,Stanford
2021,9,4,28,133,Ian Book,Saints,Notre Dame
2021,10,6,34,218,Sam Ehlinger,Colts,Texas
2020,1,1,1,1,Joe Burrow,Bengals,Louisiana State
2020,2,1,5,5,Tua Tagovailoa,Dolphins,Alabama
2020,3,1,6,6,Justin Herbert,Chargers,Oregon
2020,4,1,26,26,Jordan Love,Packers,Utah State
2020,5,2,21,53,Jalen Hurts,Eagles,Oklahoma
2020,6,4,16,122,Jacob Eason,Colts,Washington
2020,7,4,19,125,James Morgan,Jets,Florida International
2020,8,5,21,167,Jake Fromm,Bills,Georgia
2020,9,6,10,189,Jake Luton,Jaguars,Oregon State
2020,10,7,10,224,Cole McDonald,Titans,Hawaii
2020,11,7,17,231,Ben DiNucci,Cowboys,James Madison
2020,12,7,26,240,Tommy Stevens,Saints,Mississippi State
2020,13,7,30,244,Nate Stanley,Vikings,Iowa
2019,1,1,1,1,Kyler Murray,Cardinals,Oklahoma
2019,2,1,6,6,Daniel Jones,Giants,Duke
2019,3,1,15,15,Dwayne Haskins,Redskins,Ohio State
2019,4,2,10,42,Drew Lock,Broncos,Missouri
2019,5,3,36,100,Will Grier,Panthers,West Virginia
2019,6,4,2,104,Ryan Finley,Bengals,North Carolina State
2019,7,4,31,133,Jarrett Stidham,Patriots,Auburn
2019,8,5,28,166,Easton Stick,Chargers,North Dakota State
2019,9,5,29,167,Clayton Thorson,Eagles,Northwestern
2019,10,6,5,178,Gardner Minshew,Jaguars,Washington State
2019,11,6,24,197,Trace McSorley,Ravens,Penn State
2018,1,1,1,1,Baker Mayfield,Browns,Oklahoma
2018,2,1,3,3,Sam Darnold,Jets,USC
2018,3,1,7,7,Josh Allen,Bills,Wyoming
